SJAG_04060	B6K5T4
SJAG_00390	B6JVI0
SJAG_04986	B6K8A9
SJAG_03506	B6K4F0
SJAG_04578	B6K772
SJAG_04567	B6K761
SJAG_04933	B6K856
SJAG_03098	B6K3B4
SJAG_02046	B6JZK6
SJAG_03714	B6K4Z9
SJAG_02476	B6K2K8
SJAG_03212	B6K3M2
SJAG_00202	B6JXQ9
SJAG_03930	B6K5F5
SJAG_00703	B6JWC9
SJAG_02317	B6K252
SJAG_00348	B6JVE0
SJAG_03575	B6K4L3
SJAG_02308	B6K244
SJAG_04508	B6K706
SJAG_02849	B6K1C4
SJAG_02734	B6K115
SJAG_01153	B6JZW4
SJAG_03852	B6K583
SJAG_02489	B6K2M2
SJAG_01762	B6JYU2
SJAG_00766	B6JWJ0
SJAG_00857	B6JWT2
SJAG_05607	T0TAY8
SJAG_01112	B6JZS2
SJAG_00929	B6JX03
SJAG_03056	B6K374
SJAG_04777	B6K7Q9
SJAG_03007	B6K325
SJAG_00690	B6JWB6
SJAG_03094	B6K3B0
SJAG_00221	B6JV21
SJAG_02066	B6JZM3
SJAG_04003	B6K5M7
SJAG_02034	B6JZJ4
SJAG_04346	B6K6L1
SJAG_05180	B6JXL6
SJAG_04216	B6K688
SJAG_00897	B6JWX2
SJAG_03496	B6K4E0
SJAG_04251	B6K6C2
SJAG_04633	B6K7C5
SJAG_03652	B6K4T9
SJAG_04282	B6K6F0
SJAG_04495	B6K6Z4
SJAG_04053	B6K5S7
SJAG_03182	B6K3J6
SJAG_00276	B6JV71
SJAG_02795	B6K172
SJAG_00916	B6JWZ1
SJAG_04326	B6K6J3
SJAG_04635	B6K7C7
SJAG_04989	B6K8B2
SJAG_02418	B6K2F0
SJAG_00060	B6JUT5
SJAG_04857	B6K7Y4
SJAG_00258	B6JV56
SJAG_01480	B6JY22
SJAG_02011	B6JZH1
SJAG_02726	B6K108
SJAG_02910	B6K1I0
SJAG_03914	B6K5E0
SJAG_01944	B6JZB5
SJAG_02419	B6K2F1
SJAG_01276	B6K084
SJAG_02624	B6K0R5
SJAG_00354	B6JVE6
SJAG_04423	B6K6T4
SJAG_00398	B6JVI7
SJAG_02582	B6K0M4
SJAG_02453	B6K2I3
SJAG_04227	B6K699
SJAG_01862	B6JZ38
SJAG_02049	B6JZK9
SJAG_01065	B6JXD7
SJAG_04015	B6K5N9
SJAG_04863	B6K7Z0
SJAG_00220	B6JV20
SJAG_05203	B6JWR4
SJAG_00704	B6JWD0
SJAG_01993	B6JZF5
SJAG_02298	B6K234
SJAG_03475	B6K4C0
SJAG_01922	B6JZ94
SJAG_02907	B6K1H8
SJAG_01807	B6JYY4
SJAG_00023	B6JUW2
SJAG_00461	B6JVP6
SJAG_04213	B6K685
SJAG_02381	B6K2B3
SJAG_04474	B6K6X4
SJAG_02761	B6K139
SJAG_01840	B6JZ18
SJAG_04363	B6K6M6
SJAG_01555	B6JY94
SJAG_03713	B6K4Z8
SJAG_04675	B6K7G5
SJAG_02202	B6K1U0
SJAG_03162	B6K3H8
SJAG_00957	B6JX30
SJAG_03532	B6K4H1
SJAG_01766	B6JYU6
SJAG_02665	B6K0V0
SJAG_04602	B6K795
SJAG_05310	B6K2V8
SJAG_03204	B6K3L5
SJAG_01499	B6JY40
SJAG_04218	B6K690
SJAG_02204	B6K1U2
SJAG_04697	B6K7I5
SJAG_03788	B6K522
SJAG_03414	B6K461
SJAG_04525	B6K722
